occurrence_id,decision_id,record_kind,source_term_or_construction,chosen_rendering,confidence,provisional,review_priority,please_double_check_question,unit_id,semantic_unit_id,part,chapter,section,source_path,source_line_start,source_line_end,source_byte_start,source_byte_end_exclusive,target_path,target_line_start,target_line_end,target_byte_start,target_byte_end_exclusive,target_printed_pages,reader_status,reader_artifact,reader_artifact_sha256,reader_profile,reader_printed_page,reader_assembled_pdf_page
pnb-Arab-PK:PNB-T001:OLP-0001-B002,pnb-Arab-PK:PNB-T001,terminology,logic,منطق,high,false,normal,"Does منطق retain its disciplinary sense naturally in Punjabi, without imposing Urdu sentence structure?",OLP-0001,OLP-0001-B002,,,,upstream/content/open-logic-about.tex,5,9,103,422,translation/content/open-logic-about.tex,5,9,129,732,,pending,,,,,
pnb-Arab-PK:PNB-T001:OLP-0002-B006,pnb-Arab-PK:PNB-T001,terminology,logic,منطق,high,false,normal,"Does منطق retain its disciplinary sense naturally in Punjabi, without imposing Urdu sentence structure?",OLP-0002,OLP-0002-B006,,,,upstream/content/content.tex,17,25,477,1057,translation/content/content.tex,17,24,697,1656,,pending,,,,,
pnb-Arab-PK:PNB-T001:OLP-0003-B005,pnb-Arab-PK:PNB-T001,terminology,logic,منطق,high,false,normal,"Does منطق retain its disciplinary sense naturally in Punjabi, without imposing Urdu sentence structure?",OLP-0003,OLP-0003-B005,sets-functions-relations-complete,,,upstream/content/sets-functions-relations/sets-functions-relations-complete.tex,9,14,152,456,translation/content/sets-functions-relations/sets-functions-relations-complete.tex,9,14,176,617,,pending,,,,,
pnb-Arab-PK:PNB-T001:OLP-0008-B019,pnb-Arab-PK:PNB-T001,terminology,logic,منطق,high,false,normal,"Does منطق retain its disciplinary sense naturally in Punjabi, without imposing Urdu sentence structure?",OLP-0008,OLP-0008-B019,sets-functions-relations,sets,unions-and-intersections,upstream/content/sets-functions-relations/sets/unions-and-intersections.tex,95,97,3254,3341,translation/content/sets-functions-relations/sets/unions-and-intersections.tex,97,100,4613,4759,Naskh 6; Nastaliq 9,available,OpenLogic-Sets-pnb-Arab-PK-naskh-v0.1.0.pdf,b2fcb323e4b49630320e2fb7a40ee52c8f6646e6e772566e62338aac427708dc,Naskh,6,7
pnb-Arab-PK:PNB-T001:OLP-0010-B014,pnb-Arab-PK:PNB-T001,terminology,logic,منطق,high,false,normal,"Does منطق retain its disciplinary sense naturally in Punjabi, without imposing Urdu sentence structure?",OLP-0010,OLP-0010-B014,sets-functions-relations,sets,russells-paradox,upstream/content/sets-functions-relations/sets/russells-paradox.tex,79,86,3187,3655,translation/content/sets-functions-relations/sets/russells-paradox.tex,79,86,5056,5918,Naskh 11; Nastaliq 15,available,OpenLogic-Sets-pnb-Arab-PK-naskh-v0.1.0.pdf,b2fcb323e4b49630320e2fb7a40ee52c8f6646e6e772566e62338aac427708dc,Naskh,11,12
pnb-Arab-PK:PNB-T001:OLP-0018-B005,pnb-Arab-PK:PNB-T001,terminology,logic,منطق,high,false,normal,"Does منطق retain its disciplinary sense naturally in Punjabi, without imposing Urdu sentence structure?",OLP-0018,OLP-0018-B005,sets-functions-relations,relations,trees,upstream/content/sets-functions-relations/relations/trees.tex,12,20,197,695,translation/content/sets-functions-relations/relations/trees.tex,12,19,200,953,,pending,,,,,
pnb-Arab-PK:PNB-T001:OLP-0031-B013,pnb-Arab-PK:PNB-T001,terminology,logic,منطق,high,false,normal,"Does منطق retain its disciplinary sense naturally in Punjabi, without imposing Urdu sentence structure?",OLP-0031,OLP-0031-B013,sets-functions-relations,size-of-sets,pairing,upstream/content/sets-functions-relations/size-of-sets/pairing.tex,79,84,2804,3078,translation/content/sets-functions-relations/size-of-sets/pairing.tex,80,85,4122,4556,,pending,,,,,
pnb-Arab-PK:PNB-T001:OLP-0051-B005,pnb-Arab-PK:PNB-T001,terminology,logic,منطق,high,false,normal,"Does منطق retain its disciplinary sense naturally in Punjabi, without imposing Urdu sentence structure?",OLP-0051,OLP-0051-B005,sets-functions-relations,infinite,dedekind,upstream/content/sets-functions-relations/infinite/dedekind-algebra.tex,16,39,412,1583,translation/content/sets-functions-relations/infinite/dedekind-algebra.tex,16,39,524,2110,,pending,,,,,
pnb-Arab-PK:PNB-T001:OLP-0053-B008,pnb-Arab-PK:PNB-T001,terminology,logic,منطق,high,false,normal,"Does منطق retain its disciplinary sense naturally in Punjabi, without imposing Urdu sentence structure?",OLP-0053,OLP-0053-B008,sets-functions-relations,infinite,dedekinds-proof,upstream/content/sets-functions-relations/infinite/dedekinds-proof.tex,42,64,1898,3242,translation/content/sets-functions-relations/infinite/dedekinds-proof.tex,39,59,2703,4773,,pending,,,,,
pnb-Arab-PK:PNB-T001:OLP-0053-B009,pnb-Arab-PK:PNB-T001,terminology,logic,منطق,high,false,normal,"Does منطق retain its disciplinary sense naturally in Punjabi, without imposing Urdu sentence structure?",OLP-0053,OLP-0053-B009,sets-functions-relations,infinite,dedekinds-proof,upstream/content/sets-functions-relations/infinite/dedekinds-proof.tex,66,71,3244,3649,translation/content/sets-functions-relations/infinite/dedekinds-proof.tex,61,65,4774,5348,,pending,,,,,
pnb-Arab-PK:PNB-T001:OLP-0055-B004,pnb-Arab-PK:PNB-T001,terminology,logic,منطق,high,false,normal,"Does منطق retain its disciplinary sense naturally in Punjabi, without imposing Urdu sentence structure?",OLP-0055,OLP-0055-B004,propositional-logic,,,upstream/content/propositional-logic/propositional-logic.tex,7,7,104,137,translation/content/propositional-logic/propositional-logic.tex,7,7,104,139,,pending,,,,,
pnb-Arab-PK:PNB-T001:OLP-0055-B005,pnb-Arab-PK:PNB-T001,terminology,logic,منطق,high,false,normal,"Does منطق retain its disciplinary sense naturally in Punjabi, without imposing Urdu sentence structure?",OLP-0055,OLP-0055-B005,propositional-logic,,,upstream/content/propositional-logic/propositional-logic.tex,9,18,138,690,translation/content/propositional-logic/propositional-logic.tex,9,17,140,958,,pending,,,,,
pnb-Arab-PK:PNB-T001:OLP-0057-B006,pnb-Arab-PK:PNB-T001,terminology,logic,منطق,high,false,normal,"Does منطق retain its disciplinary sense naturally in Punjabi, without imposing Urdu sentence structure?",OLP-0057,OLP-0057-B006,propositional-logic,syntax-and-semantics,introduction,upstream/content/propositional-logic/syntax-and-semantics/introduction.tex,13,35,217,1706,translation/content/propositional-logic/syntax-and-semantics/introduction.tex,13,34,215,2561,,pending,,,,,
pnb-Arab-PK:PNB-T001:OLP-0057-B007,pnb-Arab-PK:PNB-T001,terminology,logic,منطق,high,false,normal,"Does منطق retain its disciplinary sense naturally in Punjabi, without imposing Urdu sentence structure?",OLP-0057,OLP-0057-B007,propositional-logic,syntax-and-semantics,introduction,upstream/content/propositional-logic/syntax-and-semantics/introduction.tex,37,50,1707,2625,translation/content/propositional-logic/syntax-and-semantics/introduction.tex,36,49,2562,3969,,pending,,,,,
pnb-Arab-PK:PNB-T001:OLP-0057-B008,pnb-Arab-PK:PNB-T001,terminology,logic,منطق,high,false,normal,"Does منطق retain its disciplinary sense naturally in Punjabi, without imposing Urdu sentence structure?",OLP-0057,OLP-0057-B008,propositional-logic,syntax-and-semantics,introduction,upstream/content/propositional-logic/syntax-and-semantics/introduction.tex,52,62,2626,3329,translation/content/propositional-logic/syntax-and-semantics/introduction.tex,51,61,3970,4995,,pending,,,,,
